成果名称            成果类型            时间                作者                单位                支撑基金            
大量批量测试1       大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试10      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试100     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试1000    大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试101     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试102     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试103     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试104     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试105     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试106     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试107     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试108     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试109     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试11      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试110     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试111     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试112     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试113     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试114     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试115     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试116     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试117     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试118     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试119     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试12      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试120     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试121     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试122     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试123     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试124     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试125     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试126     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试127     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试128     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试129     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试13      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试130     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试131     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试132     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试133     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试134     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试135     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试136     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试137     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试138     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试139     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试14      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试140     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试141     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试142     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试143     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试144     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试145     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试146     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试147     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试148     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试149     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试15      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试150     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试151     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试152     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试153     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试154     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试155     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试156     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试157     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试158     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试159     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试16      大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试160     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试161     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试162     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试163     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试164     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试165     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试166     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试167     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试168     大量测试类型        2016-01-01          大量作者            大量公司            100000              
大量批量测试169     大量测试类型        2016-01-01          大量作者            大量公司            100000              
